,Fresh_Produce,Grains,Meat,Dairy,Baking_Goods,Freezer,Canned,Condiments,Oils_Vinegars
0,Apples,Breadcrumbs,Chicken breasts,Milk,Baking powder,Berries,Chicken stock,Black Pepper,Coconut Oil
1,Bananas,Pasta,Ground beef,Eggs,Baking Soda,Frozen Veggies,Broth,Chili Powder,Olive Oil
2,Strawberries,Quinoa,Pork chops,Butter,Granulated Sugar,Juice Concentrate,Salsa,Cinnamon,Vegetable
3,Avocados,Rice,Salmon fillets,Yogurt,Brown Sugar,Pizza,Diced Tomatoes,Crushed Red Pepper,Canola Oil
4,Bell Peppers,Sandwich Bread,Turkey,Cheese,Flour,Convenience Meals,Jam,Cumin,Peanut oil
5,Carrots,Tortillas,Bacon,Sour cream,Honey,Pie Crust,Jelly,Garlic Powder,Avocado oil
6,Potatoes,Oatmeal,Lamb chops,Cottage cheese,Vanilla Extract,Cookie Dough,Peanut Butter,Ketchup,Sesame oil
7,Spinach,Barley,Shrimp,Cream cheese,Dry Yeast,Shrimp,Pasta Sauce,Mustard,Grapeseed oil
8,Tomatoes,Bulgur,Tilapia fillets,Heavy cream,Chocolate Chips,Ice cream,Beans,Mayo,Walnut oil
9,Mangoes,Couscous,Sausages,Whipping cream,Cocoa Powder,dumplings,Soups,Nutmeg,Apple cider vinegar
10,Kiwi,Cornmeal,Beef steaks,Buttermilk,Powdered Sugar,appetizers,Tuna,Paprika,Balsamic vinegar
11,Papaya,Whole wheat tortillas,Ground turkey,Ricotta cheese,Food coloring,seafood,Green Chiles,Salt,Red Wine Vinegar
12,Peaches,Farro,Pork tenderloin,Parmesan cheese,Sprinkles,Waffles,Canned Veggies,Soy Sauce,White Vinegar
13,Pears,Millet,Ham,Gouda cheese,Powdered sugar,Pancakes,Coffee,Steak Sauce,Cooking Wine
14,Watermelon,Wild rice,Duck breast,Goat cheese,Almond extract,Potstickers,Tea,Buffalo Sauce,White Wine Vinegar
